WARD,ID,YEAR,ITEM,CATEGORY,LOCATION,COST,TOTAL COST
46,37211,2021,Alley Resurfacing Menu,Alleys,N BROADWAY & W ADDISON ST & W WAVELAND AVE & N HALSTED ST,13246,6495910
46,37212,2021,Alley Resurfacing Menu,Alleys,N CLARK ST & W LAWRENCE AVE & W LELAND AVE & N DOVER ST,27182,6495910
46,37213,2021,Alley Resurfacing Menu,Alleys,W IRVING PARK RD & N FREMONT ST & N SHERIDAN RD & W DAKIN ST,37083,6495910
46,37214,2021,Alley Resurfacing Menu,Alleys,W LAWRENCE AVE & N BEACON ST & N DOVER ST & W LELAND AVE,30598,6495910
46,37215,2021,Alley Speed Hump Menu,Alleys,4220 N KENMORE AVE,700,6495910
46,37216,2021,Clarendon Park Tennis Court Resurfacing,Parks,4400 N CLARENDON AVE,50000,6495910
46,37217,2021,Concrete Alley Menu,Alleys,N WILTON AVE & W GRACE ST & W SHERIDAN RD & N FREMONT ST,245613,6495910
46,37218,2021,Diagonal Parking Menu,Street Redesign,817 W GRACE ST,103542,6495910
46,37219,2021,Miscellaneous CDOT Projects,Misc. CDOT,841-843 W GUNNISON ST,500,6495910
46,37220,2021,Miscellaneous CDOT Projects,Misc. CDOT,ON N BROADWAY FROM N KENMORE AVE (4500 N) TO W LAWRENCE AVE (4799 N),5303,6495910
46,37221,2021,Miscellaneous CDOT Projects,Misc. CDOT,W ADDISON ST & N LAKE SHORE DR,2500,6495910
46,37222,2021,Mural at the Uptown Neighborhood Health Center w/ DCASE,Beautification,845 W WILSON AVE,75000,6495910
46,37223,2021,Sidewalk Menu,Sidewalk Repair,3817 N FREMONT ST,4580,6495910
46,37224,2021,Sidewalk Menu,Sidewalk Repair,4240 N KENMORE AVE,3369,6495910
46,37225,2021,Sidewalk Menu,Sidewalk Repair,4453 N BEACON ST,646,6495910
46,37226,2021,Sidewalk Menu,Sidewalk Repair,4600 N MAGNOLIA AVE,19587,6495910
46,37227,2021,Sidewalk Menu,Sidewalk Repair,4628 N MALDEN ST,4580,6495910
46,37228,2021,Sidewalk Menu,Sidewalk Repair,4649-4653 N MAGNOLIA AVE,35480,6495910
46,37229,2021,Sidewalk Menu,Sidewalk Repair,4707 N KENMORE AVE,3454,6495910
46,37230,2021,Sidewalk Menu,Sidewalk Repair,4818-4820 N WINTHROP AVE,14210,6495910
46,37231,2021,Sidewalk Menu,Sidewalk Repair,4900 N BROADWAY,9817,6495910
46,37232,2021,Sidewalk Menu,Sidewalk Repair,804-814 W LAKESIDE PL,11032,6495910
46,37233,2021,Sidewalk Menu,Sidewalk Repair,832 W HUTCHINSON ST,5097,6495910
46,37234,2021,Sidewalk Menu,Sidewalk Repair,929 W AINSLIE ST,4126,6495910
46,37235,2021,Sidewalk Menu,Sidewalk Repair,N BROADWAY & W WAVELAND AVE,5639,6495910
46,37236,2021,Street Bump Outs Menu,Pedestrian Infrastructure,4507 N MARINE DR,60400,6495910
46,37237,2021,Street Bump Outs Menu,Pedestrian Infrastructure,N BEACON ST & W LELAND AVE,29221,6495910
46,37238,2021,Street Bump Outs Menu,Pedestrian Infrastructure,W DAKIN ST & N SHERIDAN RD,38442,6495910
46,37239,2021,Street Light Pole Painting Menu,Lighting,ON N SHERIDAN RD FROM W IRVING PARK RD (4000 N) TO W LAWRENCE AVE (4800 N),33600,6495910
46,37240,2021,Street Light Pole Painting Menu,Lighting,ON W LAWRENCE AVE FROM N LSD LAWRENCE AV XR (730 W) TO N CLARK ST (1500 W),24357,6495910
46,37241,2021,Street Light Residential Staggered Piggy Back Menu,Lighting,ON N SHEFFIELD AVE FROM W GRACE ST (3800 N) TO N SHERIDAN RD (3900 N),165000,6495910
46,37242,2021,Street Light Upgrade Menu,Lighting,4441 N BEACON ST,500,6495910
46,37243,2021,Street Resurfacing Menu,Street Resurfacing,ON N FREMONT ST FROM W GRACE ST (3800 N) TO W SHERIDAN RD (3900 N),47677,6495910
46,37244,2021,Street Resurfacing Menu,Street Resurfacing,ON N KENMORE AVE FROM W IRVING PARK RD (4000 N) TO W BUENA AVE (4200 N),119658,6495910
46,37245,2021,Street Resurfacing Menu,Street Resurfacing,ON N MALDEN ST FROM W LELAND AVE (4700 N) TO W LAWRENCE AVE (4800 N),53824,6495910
46,37246,2021,Viaduct Improvement Menu,Viaducts,W ADDISON ST & N LAKE SHORE DR,29605,6495910
46,37247,2021,Viaduct Improvement Menu,Viaducts,W WAVELAND AVE & N LAKE SHORE DR,41310,6495910
46,37248,2022,SUNNYSIDE; Alley Resurfacing Menu,Alleys,N SHERIDAN RD & W BUENA AVE & W MONTROSE AVE & N KENMORE AVE,45782,6495910
46,37249,2022,Arterial Street Bump Outs Menu,Pedestrian Infrastructure,W AGATITE AVE & N CLARENDON AVE,50000,6495910
46,37250,2022,Bike Lane/Marked Shared Lane Menu,Bicycle Infrastructure,ON N WINTHROP AVE FROM W LELAND AVE (4700 N) TO W AINSLIE ST (4900 N),17500,6495910
46,37251,2022,Concrete Alley Menu,Alleys,W DAKIN ST & N SEMINARY AVE & N SHERIDAN RD & W IRVING PARK RD,37265,6495910
46,37252,2022,Curb & Gutter Menu,Street Resurfacing,1304 W SUNNYSIDE AVE,2986,6495910
46,37253,2022,Miscellaneous CDOT Projects,Misc. CDOT,3940 N SHERIDAN RD,3900,6495910
46,37254,2022,Miscellaneous CDOT Projects,Misc. CDOT,4558 N BROADWAY,8300,6495910
46,37255,2022,Miscellaneous CDOT Projects,Misc. CDOT,N LAKE SHORE DR & W WAVELAND AVE,3900,6495910
46,37256,2022,Miscellaneous CDOT Projects,Misc. CDOT,W IRVING PARK RD & N SHERIDAN RD,3900,6495910
46,37257,2022,Sidewalk Menu,Sidewalk Repair,4417-4419 N MAGNOLIA AVE,1175,6495910
46,37258,2022,Sidewalk Menu,Sidewalk Repair,4506-4509 N MAGNOLIA AVE,3535,6495910
46,37259,2022,Sidewalk Menu,Sidewalk Repair,4734 N MARINE DR,991,6495910
46,37260,2022,Sidewalk Menu,Sidewalk Repair,4801-4807 N WINTHROP AVE,4471,6495910
46,37261,2022,Sidewalk Menu,Sidewalk Repair,841-843 W GUNNISON ST,2944,6495910
46,37262,2022,Sidewalk Menu,Sidewalk Repair,915-917 W GUNNISON ST,3535,6495910
46,37263,2022,Sidewalk Menu,Sidewalk Repair,925 W GUNNISON ST,6359,6495910
46,37264,2022,Sidewalk Menu,Sidewalk Repair,939-941 W GUNNISON ST,2734,6495910
46,37265,2022,Speed Indicator Signs,Traffic Signals,808 W HUTCHINSON ST,14000,6495910
46,37266,2022,Speed Indicator Signs,Traffic Signals,N BROADWAY & W WAVELAND AVE,14000,6495910
46,37267,2022,Street Bump Outs Menu,Pedestrian Infrastructure,4507 N MARINE DR,53037,6495910
46,37268,2022,Street Bump Outs Menu,Pedestrian Infrastructure,N MARINE DR & W BUENA AVE,12463,6495910
46,37269,2022,Street Bump Outs Menu,Pedestrian Infrastructure,ON W LELAND AVE FROM N CLARK ST (1500 W) TO N WINTHROP AVE (1100 W),95572,6495910
46,37270,2022,Street Bump Outs Menu,Pedestrian Infrastructure,W WILSON AVE & N DOVER ST,99923,6495910
46,37271,2022,Street Bump Outs Menu,Pedestrian Infrastructure,W WILSON AVE & N MALDEN ST,184217,6495910
46,37272,2022,Street Light Pole Painting Menu,Lighting,ON W LAWRENCE AVE FROM N LSD LAWRENCE AV XR (730 W) TO N CLARK ST (1500 W),6842,6495910
46,37273,2022,Street Resurfacing Menu,Street Resurfacing,ON N CLIFTON AVE FROM W WILSON AVE (4600 N) TO N BROADWAY (4722 N),44245,6495910
46,37274,2022,Street Resurfacing Menu,Street Resurfacing,ON N KENMORE AVE FROM W GRACE ST (3800 N) TO W BYRON ST (3900 N),43978,6495910
46,37275,2022,Street Resurfacing Menu,Street Resurfacing,ON N MALDEN ST FROM W MONTROSE AVE (4400 N) TO W WILSON AVE (4600 N),124105,6495910
46,37276,2022,Street Resurfacing Menu,Street Resurfacing,ON N PINE GROVE AVE FROM W ADDISON ST (3600 N) TO W PATTERSON AVE (3640 N),41568,6495910
46,37277,2022,Street Resurfacing Menu,Street Resurfacing,ON N PINE GROVE AVE FROM W WAVELAND AVE (3700 N) TO W GRACE ST (3800 N),87588,6495910
46,37278,2022,Street Resurfacing Menu,Street Resurfacing,ON N WILTON AVE FROM W GRACE ST (3800 N) TO W SHERIDAN RD (3900 N),45587,6495910
46,37279,2022,Street Resurfacing Menu,Street Resurfacing,ON W BROMPTON AVE FROM N LAKE SHORE DR (500 W) TO N PINE GROVE AVE (600 W),52405,6495910
46,37280,2022,Street Resurfacing Menu,Street Resurfacing,ON W DAKIN ST FROM N BROADWAY (800 W) TO N SHERIDAN RD (1000 W),73705,6495910
46,37281,2022,Street Resurfacing Menu,Street Resurfacing,ON W GRACE ST FROM N LAKE SHORE DR (600 W) TO N PINE GROVE AVE (700 W),67775,6495910
46,37282,2022,Street Speed Hump Menu,Street Resurfacing,ON W LELAND AVE FROM N SHERIDAN RD (1000 W) TO N KENMORE AVE (1035 W),2350,6495910
46,41500,2019,Alley Resurfacing Menu,Alleys,844 W WAVELAND AVE:W WAVELAND AVE & N FREMONT ST & N HALSTED ST & W BRADLEY PL,41352,6495910
46,41501,2019,Alley Speed Hump Menu,Alleys,4419 N BEACON ST:N BEACON ST & W SUNNYSIDE AVE & N MALDEN ST & W MONTROSE AVE,1400,6495910
46,41502,2019,Miscellaneous CDOT Projects,Misc. CDOT,N LAKE SHORE DR & W BROMPTON AVE:N LAKE SHORE DR & W ADDISON ST:N LAKE SHORE DR & W CORNELIA AVE:N LAKE SHORE DR & W GRACE ST,72811,6495910
46,41503,2019,Sidewalk Menu,Sidewalk Repair,4356 N BROADWAY:N BROADWAY & W MONTROSE AVE,21343,6495910
46,41504,2019,Speed Indicator Signs,Traffic Signals,3751 N BROADWAY:ON N BROADWAY FROM W WAVELAND AVE (3699 N) TO W GRACE ST (3799 N),14000,6495910
46,41505,2019,Speed Indicator Signs,Traffic Signals,ON W SHERIDAN RD FROM N FREMONT ST (900 W) TO N BROADWAY (1199 W):832 W SHERIDAN RD,14000,6495910
46,41506,2021,4 POD Cameras: Hazel & Wilson; Clarendon & Wilson Broadway & Leland; Addison & Pine Grove,Police Cameras,N BROADWAY & W LELAND AVE; W WILSON AVE & N CLARENDON AVE; W ADDISON ST & N PINE GROVE AVE,74328,6495910
46,41507,2021,Alley Speed Hump Menu,Alleys,W MONTROSE AVE & N MALDEN ST & N BEACON ST & W SUNNYSIDE AVE; 4417 N BEACONST,700,6495910
46,41508,2021,Concrete Alley Menu,Alleys,W MONTROSE AVE & N MARINE DR & N CLARENDON AVE & W JUNIOR TER; 4300 N MARINEDR,3373,6495910
46,41509,2021,Curb & Gutter Menu,Street Resurfacing,1200 W AINSLIE ST; N BROADWAY & W AINSLIE ST,4154,6495910
46,41510,2021,Miscellaneous CDOT Projects,Misc. CDOT,N RACINE AVE & W SUNNYSIDE AVE; 4438 N RACINE AVE,32796,6495910
46,41511,2021,Sidewalk Menu,Sidewalk Repair,4560 N BROADWAY; 4545 N BROADWAY,13771,6495910
46,41512,2022,MONTROSE & CLARENDON; SE BROADWAY & W WILSON AVE; N HAZEL ST & W MONTROSE AVE; N BROADWAY & W SUNNYSIDE AVE,Misc.,MONTROSE & CLARENDON; SE BROADWAY & W WILSON AVE; N HAZEL ST & W MONTROSE AVE; N BROADWAY & W SUNNYSIDE AVE,123880,6495910
46,41513,2022,Concrete Alley Menu,Alleys,W MONTROSE AVE & N MARINE DR & N CLARENDON AVE & W JUNIOR TER; 4300 N MARINEDR,58057,6495910
46,41514,2022,Sidewalk Menu,Sidewalk Repair,4560 N BROADWAY; 4545 N BROADWAY,30414,6495910
46,41515,2022,Speed Indicator Signs,Traffic Signals,N CLARENDON AVE & W BITTERSWEET PL; 4140 N MARINE DR,14000,6495910
46,41516,2022,Speed Indicator Signs,Traffic Signals,W MONTROSE AVE & N BEACON ST; 4420 N BEACON ST,11000,6495910
46,43349,2019,Alley Speed Hump Replacement,Alleys,N MALDEN ST & W LELAND AVE & N MAGNOLIA AVE & W WILSON AVE,0,6495910
46,43350,2019,Alley Speed Hump Replacement,Alleys,W LAWRENCE AVE & N MARINE DR & N SHERIDAN RD & W GUNNISON ST,0,6495910
46,43351,2019,Street Speed Hump Replacement,Street Resurfacing,ON N BEACON ST FROM W MONTROSE AVE (4400 N) TO W SUNNYSIDE AVE (4500 N),0,6495910
46,43352,2019,Street Speed Hump Replacement,Street Resurfacing,ON W AGATITE AVE FROM N SHERIDAN RD (1000 W) TO N HAZEL ST (900 W),0,6495910
46,43353,2019,Street Speed Hump Replacement,Street Resurfacing,ON W WINDSOR AVE FROM N SHERIDAN RD (1000 W) TO N HAZEL ST (900 W),0,6495910
46,43354,2019,Street Speed Hump Replacement,Street Resurfacing,ON W JUNIOR TER FROM N CLARENDON AVE (800 W) TO N HAZEL ST (900 W),0,6495910
46,43355,2020,Alley Speed Hump Replacement,Alleys,W GRACE ST & N PINE GROVE AVE & N LAKE SHORE DR & W WAVELAND AVE,0,6495910
46,43356,2021,Alley Speed Hump Replacement,Alleys,N BROADWAY & W ADDISON ST & W WAVELAND AVE & N HALSTED ST,0,6495910
46,43357,2021,Alley Speed Hump Replacement,Alleys,N CLARK ST & W LAWRENCE AVE & W LELAND AVE & N DOVER ST,0,6495910
46,43358,2021,Street Speed Hump Replacement,Street Resurfacing,ON N KENMORE AVE FROM W IRVING PARK RD (4000 N) TO W BUENA AVE (4200 N),0,6495910
46,43359,2022,Street Speed Hump Replacement,Street Resurfacing,ON N CLIFTON AVE FROM W WILSON AVE (4600 N) TO N BROADWAY (4722 N),0,6495910
46,43360,2022,Street Speed Hump Replacement,Street Resurfacing,ON N PINE GROVE AVE FROM W ADDISON ST (3600 N) TO W PATTERSON AVE (3640 N),0,6495910
46,43361,2022,Street Speed Hump Replacement,Street Resurfacing,ON N PINE GROVE AVE FROM W WAVELAND AVE (3700 N) TO W GRACE ST (3800 N),0,6495910
46,43362,2022,Street Speed Hump Replacement,Street Resurfacing,ON W BROMPTON AVE FROM N LAKE SHORE DR (500 W) TO N PINE GROVE AVE (600 W),0,6495910
46,43363,2022,Street Speed Hump Replacement,Street Resurfacing,ON W GRACE ST FROM N LAKE SHORE DR (600 W) TO N PINE GROVE AVE (700 W),0,6495910
46,45789,2023,Alley Resurfacing Menu,Alleys,N BROADWAY & W GUNNISON ST & W LAWRENCE AVE & N MAGNOLIA AVE,7168,6495910
46,45790,2023,Alley Resurfacing Menu,Alleys,N SHERIDAN RD & W BUENA AVE & W MONTROSE AVE & N KENMORE AVE,12897,6495910
46,45791,2023,Alley Resurfacing Menu,Alleys,W BROMPTON AVE & N LAKE SHORE DR & N PINE GROVE AVE & W CORNELIA AVE,14430,6495910
46,45792,2023,Bus Pad,Misc.,840 W IRVING PARK RD,33748,6495910
46,45793,2023,Catch Basin Installation 1000 Block of W Sunnyside Ave,Misc.,ON W SUNNYSIDE AVE FROM N BROADWAY (1040 W) TO N SHERIDAN RD (1000 W),11000,6495910
46,45794,2023,Concrete Alley Menu,Alleys,N CLARENDON AVE & W EASTWOOD AVE; 826 W WILSON AVE; N CLARENDON AVE & W WILSON AVE,350000,6495910
46,45795,2023,Concrete Alley Menu,Alleys,N CLARENDON AVE & W SUNNYSIDE AVE & W WINDSOR AVE & N HAZEL ST,4237,6495910
46,45796,2023,Concrete Alley Menu,Alleys,W LAWRENCE AVE & N WINTHROP AVE & N KENMORE AVE & W AINSLIE ST,382304,6495910
46,45797,2023,High Definition Camera Menu,Police Cameras,N PINE GROVE AVE & W ADDISON ST,3500,6495910
46,45798,2023,Miscellaneous CDOT Projects,Misc. CDOT,4301 N BROADWAY; N BROADWAY & W CULLOM AVE,40882,6495910
46,45799,2023,Sidewalk Menu,Sidewalk Repair,3715 N HALSTED ST,11500,6495910
46,45800,2023,Sidewalk Menu,Sidewalk Repair,4413 N SHERIDAN RD,4474,6495910
46,45801,2023,Sidewalk Menu,Sidewalk Repair,4423-4445 N BROADWAY,19851,6495910
46,45802,2023,Sidewalk Menu,Sidewalk Repair,4501-4515 N MALDEN ST,2085,6495910
46,45803,2023,Sidewalk Menu,Sidewalk Repair,4548 N SHERIDAN RD,17695,6495910
46,45804,2023,Sidewalk Menu,Sidewalk Repair,4750 N CLARENDON AVE,5753,6495910
46,45805,2023,Sidewalk Menu,Sidewalk Repair,817 W HUTCHINSON ST,22352,6495910
46,45806,2023,Sidewalk Menu,Sidewalk Repair,826 W HUTCHINSON ST,3122,6495910
46,45807,2023,Sidewalk Menu,Sidewalk Repair,826 W WILSON AVE,33702,6495910
46,45808,2023,Street Light Pole Painting Menu,Lighting,ON N BROADWAY FROM W GUNNISON ST (4841 N) TO W AINSLIE ST (4899 N),4650,6495910
46,45809,2023,Street Light Pole Painting Menu,Lighting,ON W WILSON AVE FROM N SIMONDS DR (400 W) TO N CLARENDON AVE (800 W),11100,6495910
46,45810,2023,Street Resurfacing Menu,Street Resurfacing,ON N KENMORE AVE FROM W LAWRENCE AVE (4800 N) TO W AINSLIE ST (4900 N),93266,6495910
46,45811,2023,Street Resurfacing Menu,Street Resurfacing,ON N MAGNOLIA AVE FROM W SUNNYSIDE AVE (4500 N) TO W WILSON AVE (4600 N),75784,6495910
46,45812,2023,Street Resurfacing Menu,Street Resurfacing,ON N MALDEN ST FROM W MONTROSE AVE (4400 N) TO W WILSON AVE (4600 N),2525,6495910
46,45813,2023,Street Resurfacing Menu,Street Resurfacing,ON N PINE GROVE AVE FROM W CORNELIA AVE (3500 N) TO W BROMPTON AVE (3540 N),44003,6495910
46,45814,2023,Street Resurfacing Menu,Street Resurfacing,ON N RACINE AVE FROM W MONTROSE AVE (4400 N) TO W SUNNYSIDE AVE (4440 N),83701,6495910
