WARD,ID,YEAR,ITEM,CATEGORY,LOCATION,COST,TOTAL COST
1,918,2022,Curb & Gutter Menu,Street Resurfacing,2759 N LEAVITT ST,25646,8239780
1,788,2019,Maplewood Park Field House 2019 Phase II Menu Contribution,Parks,1640 N MAPLEWOOD AVE,250000,8239780
1,789,2019,Alley Resurfacing Menu (1-1),Alleys,W OHIO ST & N DAMEN AVE & W RACE AVE & N WOLCOTT AVE,17652,8239780
1,790,2019,Alley Resurfacing Menu,Alleys,N WHIPPLE ST & W BLOOMINGDALE AVE & N HUMBOLDT BLVD W & W CORTLAND ST,37557,8239780
1,791,2019,Alley Resurfacing Menu,Alleys,N ROCKWELL ST & W CORTLAND ST & N TALMAN AVE & W BLOOMINGDALE AVE,70987,8239780
1,792,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N CALIFORNIA AVE & W ALTGELD ST,600,8239780
1,793,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N CALIFORNIA AVE & W SHAKESPEARE AVE,350,8239780
1,794,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N CALIFORNIA AVE & W PALMER ST,350,8239780
1,795,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N MILWAUKEE AVE & W MEDILL AVE,350,8239780
1,796,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N MILWAUKEE AVE & N HONORE ST,350,8239780
1,797,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N DAMEN AVE & W HURON ST,600,8239780
1,798,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N DAMEN AVE & W EVERGREEN AVE,600,8239780
1,799,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N DAMEN AVE & W LE MOYNE ST,600,8239780
1,800,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,W DIVISION ST & N HOYNE AVE,350,8239780
1,801,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,W DIVISION ST & N PAULINA ST,350,8239780
1,802,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,W AUGUSTA BLVD & N PAULINA ST,350,8239780
1,803,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N MILWAUKEE AVE & N WASHTENAW AVE,350,8239780
1,804,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N DAMEN AVE & W LE MOYNE ST,600,8239780
1,805,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N MILWAUKEE AVE & N HONORE ST,350,8239780
1,806,2019,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,W DIVISION ST & N WOLCOTT AVE,350,8239780
1,807,2019,LPR Reader: 1899 N MOZART,Police Cameras,1900 N MOZART ST,30431,8239780
1,808,2019,Sidewalk Menu,Sidewalk Repair,3101 W ARMITAGE AVE,32387,8239780
1,809,2019,Sidewalk Menu,Sidewalk Repair,2457 N FAIRFIELD AVE,17015,8239780
1,810,2019,Sidewalk Menu,Sidewalk Repair,836 N GREENVIEW AVE,3036,8239780
1,811,2019,Sidewalk Menu,Sidewalk Repair,516 N ADA ST,2386,8239780
1,812,2019,Sidewalk Menu,Sidewalk Repair,2548 W ARMITAGE AVE,3182,8239780
1,813,2019,Sidewalk Menu,Sidewalk Repair,2115 N CALIFORNIA AVE,2652,8239780
1,814,2019,Sidewalk Menu,Sidewalk Repair,1542 N CAMPBELL AVE,10482,8239780
1,815,2019,Sidewalk Menu,Sidewalk Repair,1859 W CHICAGO AVE,6874,8239780
1,816,2019,Sidewalk Menu,Sidewalk Repair,2418 W CORTEZ ST,2278,8239780
1,817,2019,Sidewalk Menu,Sidewalk Repair,3436 W CORTLAND ST,13554,8239780
1,818,2019,Sidewalk Menu,Sidewalk Repair,1220 N DAMEN AVE,1430,8239780
1,819,2019,Sidewalk Menu,Sidewalk Repair,1829 W ELLEN ST,1640,8239780
1,820,2019,Sidewalk Menu,Sidewalk Repair,1457 W ERIE ST,4700,8239780
1,821,2019,Sidewalk Menu,Sidewalk Repair,2439 W FULLERTON AVE,31874,8239780
1,822,2019,Sidewalk Menu,Sidewalk Repair,1378 W GRAND AVE,12964,8239780
1,823,2019,Sidewalk Menu,Sidewalk Repair,2727 W HADDON AVE,2797,8239780
1,824,2019,Sidewalk Menu,Sidewalk Repair,1027 N HERMITAGE AVE,2702,8239780
1,825,2019,Sidewalk Menu,Sidewalk Repair,1935 W HURON ST,1737,8239780
1,826,2019,Sidewalk Menu,Sidewalk Repair,1289 N MILWAUKEE AVE,22454,8239780
1,827,2019,Sidewalk Menu,Sidewalk Repair,2346 W RICE ST,4020,8239780
1,828,2019,Sidewalk Menu,Sidewalk Repair,2009 W SCHILLER ST,67158,8239780
1,829,2019,Sidewalk Menu,Sidewalk Repair,2346 W SUPERIOR ST,949,8239780
1,830,2019,Sidewalk Menu,Sidewalk Repair,1528-1531 N TALMAN AVE,3817,8239780
1,831,2019,Sidewalk Menu,Sidewalk Repair,1539-1541 W WALTON ST,3931,8239780
1,832,2019,Sidewalk Menu,Sidewalk Repair,1832 N WASHTENAW AVE,1387,8239780
1,833,2019,Sidewalk Menu,Sidewalk Repair,1332 N WOLCOTT AVE,1194,8239780
1,834,2019,Street Light Upgrade Menu,Lighting,2024 N STAVE ST,500,8239780
1,835,2019,Street Resurfacing Menu (1-5),Street Resurfacing,ON N LEAVITT ST FROM W DIVISION ST (1200 N) TO W NORTH AVE (1600 N),45939,8239780
1,836,2019,Street Resurfacing Menu (1-5),Street Resurfacing,ON W POTOMAC AVE FROM N OAKLEY BLVD (2300 W) TO N LEAVITT ST (2200 W),53654,8239780
1,837,2019,Street Resurfacing Menu,Street Resurfacing,ON N TALMAN AVE FROM W BLOOMINGDALE AVE (1800 N) TO W WABANSIA AVE (1700 N),67150,8239780
1,838,2019,Street Resurfacing Menu,Street Resurfacing,ON N OAKLEY AVE FROM W POTOMAC AVE (1300 N) TO W HIRSCH ST (1400 N),50416,8239780
1,839,2019,Street Resurfacing Menu,Street Resurfacing,ON N HONORE ST FROM N WICKER PARK AVE (1500 N) TO N MILWAUKEE AVE (1520 N),23128,8239780
1,840,2019,Street Resurfacing Menu,Street Resurfacing,ON W WALTON ST FROM N WOOD ST (1800 W) TO N HERMITAGE AVE (1740 W),21103,8239780
1,841,2019,Street Speed Hump Menu,Street Resurfacing,ON N CAMPBELL AVE FROM W NORTH AVE (1600 N) TO W WABANSIA AVE (1700 N),4700,8239780
1,842,2019,Street Speed Hump Menu,Street Resurfacing,ON W CHESTNUT ST FROM N GREENVIEW AVE (1500 W) TO N ASHLAND AVE (1600 W),4700,8239780
1,843,2019,Street Speed Hump Menu,Street Resurfacing,ON W ERIE ST FROM N WOLCOTT AVE (1900 W) TO N DAMEN AVE (2000 W),4700,8239780
1,844,2019,Street Speed Hump Menu,Street Resurfacing,ON W CRYSTAL ST FROM N HERMITAGE AVE (1730 W) TO N WOOD ST (1800 W),2350,8239780
1,845,2019,Sidewalk Menu,Sidewalk Repair,1264 N WOOD ST,2097,8239780
1,846,2019,POD Camera Relocation,Police Cameras,2536 W CORTLAND ST,1800,8239780
1,847,2020,Alley Resurfacing Menu (1-1),Alleys,W ARMITAGE AVE & N LAWNDALE AVE & N MONTICELLO AVE & W CORTLAND ST,46772,8239780
1,848,2020,Alley Resurfacing Menu,Alleys,N WOOD ST & W GRAND AVE & W OHIO ST & N HARTLAND CT,18405,8239780
1,849,2020,Alley Resurfacing Menu,Alleys,W CHICAGO AVE & N WOOD ST & N HERMITAGE AVE & W PEARSON ST,29975,8239780
1,850,2020,Alley Resurfacing Menu,Alleys,N WOOD ST & W AUGUSTA BLVD & W CORTEZ ST & N HERMITAGE AVE,43079,8239780
1,851,2020,Alley Resurfacing Menu,Alleys,N RICHMOND ST & W WABANSIA AVE & W BLOOMINGDALE AVE & N FRANCISCO AVE,30377,8239780
1,852,2020,Arterial Street Bump Outs Menu,Pedestrian Infrastructure,W ARMITAGE AVE & N WASHTENAW AVE,50000,8239780
1,853,2020,Pedestrian Refuge Island Menu,Pedestrian Infrastructure,N ASHLAND AVE & W CHESTNUT ST,27528,8239780
1,854,2020,In-Road State Law Stop For Pedestrians Signs Menu,Pedestrian Infrastructure,N CALIFORNIA AVE & W ALTGELD ST,600,8239780
1,855,2020,Sidewalk Menu,Sidewalk Repair,1709 N FRANCISCO AVE,5304,8239780
1,856,2020,Sidewalk Menu,Sidewalk Repair,N CALIFORNIA AVE & W MEDILL AVE,16000,8239780
1,857,2020,Sidewalk Menu,Sidewalk Repair,W WABANSIA AVE & N MOZART ST,14490,8239780
1,858,2020,Sidewalk Menu,Sidewalk Repair,1713 N RICHMOND ST,3198,8239780
1,859,2020,Sidewalk Menu,Sidewalk Repair,2546 W HOMER ST,28940,8239780
1,860,2020,Street Resurfacing Menu (1-5),Street Resurfacing,ON W HURON ST FROM N PAULINA ST (1700 W) TO N WOOD ST (1800 W),71245,8239780
1,861,2020,Street Resurfacing Menu (1-5),Street Resurfacing,ON N LEAVITT ST FROM W DIVISION ST (1200 N) TO W NORTH AVE (1600 N),71680,8239780
1,862,2020,Street Resurfacing Menu,Street Resurfacing,ON W OHIO ST FROM N BISHOP ST (1440 W) TO N ARMOUR ST (1500 W),52698,8239780
1,863,2020,Street Resurfacing Menu,Street Resurfacing,ON W HURON ST FROM N ASHLAND AVE (1600 W) TO N PAULINA ST (1700 W),62814,8239780
1,864,2020,Street Resurfacing Menu,Street Resurfacing,ON W LE MOYNE DR FROM N CLAREMONT AVE (2330 W) TO N WESTERN AVE (2400 W),23348,8239780
1,865,2020,Street Resurfacing Menu,Street Resurfacing,ON W CORTLAND ST FROM N KEDZIE AVE (3200 W) TO N SAWYER AVE (3232 W),34112,8239780
1,866,2020,Street Resurfacing Menu,Street Resurfacing,ON W DICKENS AVE FROM N CALIFORNIA AVE (2800 W) TO N MOZART ST (2840 W),29875,8239780
1,867,2020,Street Resurfacing Menu,Street Resurfacing,ON W LYNDALE ST FROM N TALMAN AVE (2630 W) TO N WASHTENAW AVE (2700 W),36419,8239780
1,868,2020,Street Resurfacing Menu,Street Resurfacing,ON N FAIRFIELD AVE FROM 2416 N TO W ALTGELD ST (2500 N),55178,8239780
1,869,2020,Street Resurfacing Menu,Street Resurfacing,ON W CHESTNUT ST FROM N NOBLE ST (1400 W) TO N GREENVIEW AVE (1500 W),25036,8239780
1,870,2020,Street Resurfacing Menu,Street Resurfacing,ON W MONTANA ST FROM N OAKLEY AVE (2300 W) TO N WESTERN AVE (2400 W),58471,8239780
1,871,2020,Street Resurfacing Menu,Street Resurfacing,ON N ADA ST FROM W HURON ST (700 N) TO W CHICAGO AVE (800 N),51349,8239780
1,872,2020,Street Resurfacing Menu,Street Resurfacing,ON W ERIE ST FROM N WOOD ST (1800 W) TO N WOLCOTT AVE (1900 W),88535,8239780
1,873,2020,Street Resurfacing Menu,Street Resurfacing,ON W MOFFAT ST FROM N CAMPBELL AVE (2500 W) TO N ROCKWELL ST (2600 W),51920,8239780
1,874,2020,Street Resurfacing Menu,Street Resurfacing,ON N HOYNE AVE FROM W PIERCE AVE (1540 N) TO W NORTH AVE (1600 N),32783,8239780
1,875,2020,Street Resurfacing Menu,Street Resurfacing,ON W EVERGREEN AVE FROM N MILWAUKEE AVE (1800 W) TO W SCHILLER ST (1900 W),30845,8239780
1,876,2020,Street Resurfacing Menu,Street Resurfacing,ON W BLOOMINGDALE AVE FROM N ST LOUIS AVE (3500 W) TO N CENTRAL PARK AVE (3600 W),55973,8239780
1,877,2020,Street Resurfacing Menu,Street Resurfacing,ON N WASHTENAW AVE FROM W BELDEN AVE (2300 N) TO N MILWAUKEE AVE (2260 N),45356,8239780
1,878,2021,1 POD Camera: Noble & Huron (Split w/ Ward 27),Police Cameras,W HURON ST & N NOBLE ST,12388,8239780
1,879,2021,Arterial Street Bump Outs Menu,Pedestrian Infrastructure,W DIVISION ST & N PAULINA ST,24066,8239780
1,880,2021,Bike Lane/Marked Shared Lane Menu,Bicycle Infrastructure,ON W ERIE ST FROM N NOBLE ST (1400 W) TO N DAMEN AVE (2000 W),45000,8239780
1,881,2021,Bike Lane/Marked Shared Lane Menu,Bicycle Infrastructure,ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST (2600 W),30000,8239780
1,882,2021,Curb & Gutter Menu,Street Resurfacing,1219 N WOLCOTT AVE,3527,8239780
1,883,2021,Curb & Gutter Menu,Street Resurfacing,1400 N OAKLEY BLVD,63608,8239780
1,884,2021,Curb & Gutter Menu,Street Resurfacing,1656 W HURON ST,26598,8239780
1,885,2021,Curb & Gutter Menu,Street Resurfacing,1853 N KEDZIE AVE,43251,8239780
1,886,2021,Curb & Gutter Menu,Street Resurfacing,2350 W CHARLESTON ST,35063,8239780
1,887,2021,Curb & Gutter Menu,Street Resurfacing,2839 W FULLERTON AVE,13921,8239780
1,888,2021,Curb & Gutter Menu,Street Resurfacing,ON N MOORMAN ST FROM N HERMITAGE AVE (1270 N) TO N PAULINA ST (1300 N),12019,8239780
1,889,2021,Curb & Gutter Menu,Street Resurfacing,ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST (2600 W),16021,8239780
1,890,2021,In-Road State Law Stop For Pedestrians Sign Menu,Pedestrian Infrastructure,N DAMEN AVE & W HURON ST,1200,8239780
1,891,2021,In-Road State Law Stop For Pedestrians Sign Menu,Pedestrian Infrastructure,N DAMEN AVE & W LE MOYNE ST,600,8239780
1,892,2021,Installation of LED and pedestrian countdown traffic signals at N. California Ave. & W. Armitage Ave.,Pedestrian Infrastructure,N CALIFORNIA AVE & W ARMITAGE AVE,53344,8239780
1,893,2021,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,Pedestrian Infrastructure,N HUMBOLDT BLVD & W PALMER BLVD,50000,8239780
1,894,2021,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,Pedestrian Infrastructure,W ARMITAGE AVE & N KEDZIE AVE,50000,8239780
1,895,2021,Maplewood Park Field House,Parks,1640 N MAPLEWOOD AVE,324440,8239780
1,896,2021,Miscellaneous CDOT Projects,Misc. CDOT,2400 S WESTERN AVE,660,8239780
1,897,2021,Sidewalk Menu,Sidewalk Repair,1947 N ROCKWELL ST,97271,8239780
1,898,2021,Sidewalk Menu,Sidewalk Repair,2656 W CORTLAND ST,10544,8239780
1,899,2021,Sidewalk Menu,Sidewalk Repair,529 N HARTLAND CT,4622,8239780
1,900,2021,Sidewalk Menu,Sidewalk Repair,N CALIFORNIA AVE & W MEDILL AVE,78540,8239780
1,901,2021,Sidewalk Menu,Sidewalk Repair,W MCLEAN AVE & N CAMPBELL AVE,5425,8239780
1,902,2021,Street Resurfacing Menu,Street Resurfacing,1500 W WALTON ST,53111,8239780
1,903,2021,Street Resurfacing Menu,Street Resurfacing,1750 W DIVISION ST,20349,8239780
1,904,2021,Street Resurfacing Menu,Street Resurfacing,ON N OAKLEY AVE FROM W THOMAS ST (1100 N) TO W HADDON AVE (1130 N),36741,8239780
1,905,2021,Street Resurfacing Menu,Street Resurfacing,ON N WOOD ST FROM 1320 N TO N MILWAUKEE AVE (1400 N),12382,8239780
1,906,2021,Street Resurfacing Menu,Street Resurfacing,ON N WOOD ST FROM N ELK GROVE AVE (1500 N) TO W JULIAN ST (1440 N),7669,8239780
1,907,2021,Street Resurfacing Menu,Street Resurfacing,ON W LYNDALE ST FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST (2600 W),124604,8239780
1,908,2021,Street Speed Hump Menu,Street Resurfacing,ON W BELDEN AVE FROM N TALMAN AVE (2630 W) TO N WASHTENAW AVE (2700 W),2350,8239780
1,909,2022,1 PTZ Camera - NE N Milwaukee & W Francis Pl,Police Cameras,N MILWAUKEE AVE & W FRANCIS PL,24776,8239780
1,910,2022,Alley Resurfacing Menu,Alleys,N ELK GROVE AVE & N WOOD ST & N HONORE ST & N MILWAUKEE AVE,34361,8239780
1,911,2022,Alley Resurfacing Menu,Alleys,W DIVISION ST & N WOOD ST & N HONORE ST & W HADDON AVE,7273,8239780
1,912,2022,Arterial Street Bump Outs Menu,Pedestrian Infrastructure,W DIVISION ST & N PAULINA ST,136714,8239780
1,913,2022,Bike Lane/Marked Shared Lane Menu,Bicycle Infrastructure,ON N WOOD ST FROM W GRAND AVE (500 N) TO W ELLEN ST (1300 N),300000,8239780
1,914,2022,Concrete Alley Menu,Alleys,W ARMITAGE AVE & N WHIPPLE ST & N ALBANY AVE & W CORTLAND ST,320000,8239780
1,915,2022,CPS Turf Field - James Otis School,Schools,525 N ARMOUR ST,30000,8239780
1,916,2022,Curb & Gutter Menu,Street Resurfacing,1651 W SUPERIOR ST,6296,8239780
1,917,2022,Curb & Gutter Menu,Street Resurfacing,1656 W HURON ST,32339,8239780
1,919,2022,In-Road State Law Stop For Pedestrians Sign Menu,Pedestrian Infrastructure,N DAMEN AVE & W LE MOYNE ST,600,8239780
1,920,2022,Pavement Markings Menu,Street Redesign,ON W CHICAGO AVE FROM N ASHLAND AVE (1600 W) TO N WESTERN AVE (2400 W),100000,8239780
1,921,2022,Pavement Markings Menu,Street Redesign,W PALMER BLVD & N SACRAMENTO AVE,3300,8239780
1,922,2022,Sidewalk Menu,Sidewalk Repair,1001-1027 N MARSHFIELD AVE,36340,8239780
1,923,2022,Sidewalk Menu,Sidewalk Repair,1111 N PAULINA ST,3172,8239780
1,924,2022,Sidewalk Menu,Sidewalk Repair,1500-1522 N MAPLEWOOD AVE,19773,8239780
1,925,2022,Sidewalk Menu,Sidewalk Repair,1501-1519 W FRY ST,54549,8239780
1,926,2022,Sidewalk Menu,Sidewalk Repair,1801-1811 N ALBANY AVE,14637,8239780
1,927,2022,Sidewalk Menu,Sidewalk Repair,1813-1817 W ELLEN ST,9284,8239780
1,928,2022,Sidewalk Menu,Sidewalk Repair,2348 W WALTON ST,19209,8239780
1,929,2022,Sidewalk Menu,Sidewalk Repair,2601 W HADDON AVE,15389,8239780
1,930,2022,Sidewalk Menu,Sidewalk Repair,2726 W CHANAY ST,4456,8239780
1,931,2022,Sidewalk Menu,Sidewalk Repair,801-835 N HERMITAGE AVE,32864,8239780
1,932,2022,Street Resurfacing Menu,Street Resurfacing,ON N WOLCOTT AVE FROM W ELLEN ST (1300 N) TO N WICKER PARK AVE (1370 N),62875,8239780
1,933,2022,Street Speed Hump Menu,Street Resurfacing,ON W ERIE ST FROM N ASHLAND AVE (1600 W) TO N PAULINA ST (1700 W),4700,8239780
1,934,2022,Street Speed Hump Menu,Street Resurfacing,ON W OHIO ST FROM N WOLCOTT AVE (1900 W) TO N DAMEN AVE (2000 W),4700,8239780
1,935,2022,Street Speed Hump Menu,Street Resurfacing,ON W PRINDIVILLE ST FROM N MILWAUKEE AVE (2700 W) TO N STAVE ST (2800 W),2350,8239780
1,936,2022,Street Traffic Circle Menu,Street Redesign,W WABANSIA AVE & N WASHTENAW AVE,14135,8239780
1,40232,2019,Alley Resurfacing Menu (1-1),Alleys,W FULLERTON AVE & N WESTERN AVE & N ARTESIAN AVE & W ALTGELD ST:2440 N WESTERN AVE,26096,8239780
1,40233,2019,Alley Resurfacing Menu,Alleys,2426 W NORTH AVE:W NORTH AVE & N ARTESIAN AVE & N WESTERN AVE & W WABANSIA AVE,49754,8239780
1,40234,2019,Alley Resurfacing Menu,Alleys,1400 N CAMPBELL AVE:N CAMPBELL AVE & W LE MOYNE ST & W HIRSCH ST & N MAPLEWOOD AVE,42062,8239780
1,40235,2019,Alley Resurfacing Menu,Alleys,W CORTEZ ST & N CALIFORNIA AVE & N WASHTENAW AVE & W THOMAS ST:2700 W CORTEZ ST,54835,8239780
1,40236,2019,Alley Resurfacing Menu,Alleys,2726 W CHANAY ST:W CHANAY ST & N POINT ST,11142,8239780
1,40237,2019,Alley Resurfacing Menu,Alleys,2727 W CHANAY ST:W JULIA CT & N STAVE ST & N STAVE ST & W ST HELEN ST,17897,8239780
1,40238,2019,Alley Resurfacing Menu,Alleys,N ARTESIAN AVE & W WABANSIA AVE & W NORTH AVE & N CAMPBELL AVE:1614 N ARTESIAN AVE,57355,8239780
1,40239,2019,Alley Resurfacing Menu,Alleys,3221 W ARMITAGE AVE:W ARMITAGE AVE & N KEDZIE AVE & N SAWYER AVE & W CORTLAND ST,52544,8239780
1,40240,2020,Alley Resurfacing Menu,Alleys,N ASHLAND AVE & N MILWAUKEE AVE & W BLACKHAWK ST & N PAULINA ST:1244 N ASHLAND AVE,15421,8239780
1,40241,2020,Street Speed Hump Menu,Street Resurfacing,2044 W SCHILLER ST:ON W SCHILLER ST FROM N DAMEN AVE (2000 W) TO N HOYNE AVE (2100 W),4700,8239780
1,40242,2021,2 LPR on Existing Cameras: 1933 N Milwaukee; 1955 N Damen,Police Cameras,1933 N MILWAUKEE AVE; 1955 N DAMEN AVE,21942,8239780
1,40243,2021,Alley Resurfacing Menu,Alleys,1513 W GRAND AVE; W GRAND AVE & N ASHLAND AVE & N ARMOUR ST & W HUBBARD ST,26064,8239780
1,40244,2021,Alley Resurfacing Menu,Alleys,2346 W ALTGELD ST; W ALTGELD ST & N WESTERN AVE; 2342-2346 W ALTGELD ST,15244,8239780
1,40245,2021,Alley Resurfacing Menu,Alleys,2524 W MEDILL AVE; W MEDILL AVE & N CAMPBELL AVE & N MAPLEWOOD AVE & WFULLERTON AVE,38165,8239780
1,40246,2021,Alley Resurfacing Menu,Alleys,910 N HERMITAGE AVE; W AUGUSTA BLVD & N WOOD ST & N HERMITAGE AVE & W WALTONST,35933,8239780
1,40247,2021,Alley Resurfacing Menu,Alleys,N OAKLEY BLVD & W IOWA ST & W RICE ST & N WESTERN AVE; 850 N OAKLEY BLVD,65813,8239780
1,40248,2021,Alley Resurfacing Menu,Alleys,W RACE AVE & N DAMEN AVE & N WOLCOTT AVE & W GRAND AVE; 1927 W RACE AVE,37511,8239780
1,40249,2022,Alley Resurfacing Menu,Alleys,1020 N MARSHFIELD AVE; W CORTEZ ST & N MARSHFIELD AVE & N PAULINA ST & WAUGUSTA BLVD,38302,8239780
1,40250,2022,Alley Resurfacing Menu,Alleys,1220 N PAULINA ST; N WOOD ST & W CRYSTAL ST & W DIVISION ST & N HERMITAGE AVE,35429,8239780
1,40251,2022,Alley Resurfacing Menu,Alleys,1825 N FRANCISCO AVE; N FRANCISCO AVE & W CORTLAND ST & W BLOOMINGDALE AVE & N MOZART ST,35815,8239780
1,40252,2022,Alley Resurfacing Menu,Alleys,835 N HERMITAGE AVE; N HERMITAGE AVE & W CHICAGO AVE & W PEARSON ST & NPAULINA ST,32806,8239780
1,40253,2022,Alley Resurfacing Menu,Alleys,910 N HERMITAGE AVE; W AUGUSTA BLVD & N WOOD ST & N HERMITAGE AVE & W WALTONST,10883,8239780
1,40254,2022,Alley Resurfacing Menu,Alleys,N MOZART ST & W CORTLAND ST & W ARMITAGE AVE & N FRANCISCO AVE; 1900 N MOZARTST,25614,8239780
1,40255,2022,Alley Speed Hump Menu,Alleys,W ARMITAGE AVE & N DRAKE AVE & N ST LOUIS AVE & W CORTLAND ST; 3505-3539 WARMITAGE AVE,1400,8239780
1,43608,2023,Street Bump Outs Menu,Pedestrian Infrastructure,W CRYSTAL ST & N WOOD ST,29913,8239780
1,41663,2019,Alley Speed Hump Replacement,Alleys,W FULLERTON AVE & N WESTERN AVE & N ARTESIAN AVE & W ALTGELD ST:2440 N WESTERN AVE,0,8239780
1,41664,2019,Alley Speed Hump Replacement,Alleys,1400 N CAMPBELL AVE:N CAMPBELL AVE & W LE MOYNE ST & W HIRSCH ST & N MAPLEWOOD AVE,0,8239780
1,41665,2019,Alley Speed Hump Replacement,Alleys,W CORTEZ ST & N CALIFORNIA AVE & N WASHTENAW AVE & W THOMAS ST:2700 W CORTEZ ST,0,8239780
1,41666,2019,Alley Speed Hump Replacement,Alleys,N ARTESIAN AVE & W WABANSIA AVE & W NORTH AVE & N CAMPBELL AVE:1614 N ARTESIAN AVE,0,8239780
1,41667,2019,Alley Speed Hump Replacement,Alleys,3221 W ARMITAGE AVE:W ARMITAGE AVE & N KEDZIE AVE & N SAWYER AVE & W CORTLAND ST,0,8239780
1,41668,2019,Street Speed Hump Replacement,Street Resurfacing,ON N OAKLEY AVE FROM W POTOMAC AVE (1300 N) TO W HIRSCH ST (1400 N),0,8239780
1,41669,2020,Alley Speed Hump Replacement,Alleys,W CHICAGO AVE & N WOOD ST & N HERMITAGE AVE & W PEARSON ST,0,8239780
1,41670,2020,Alley Speed Hump Replacement,Alleys,N WOOD ST & W AUGUSTA BLVD & W CORTEZ ST & N HERMITAGE AVE,0,8239780
1,41671,2020,Alley Speed Hump Replacement,Alleys,W ARMITAGE AVE & N LAWNDALE AVE & N MONTICELLO AVE & W CORTLAND ST,0,8239780
1,41672,2020,Street Speed Hump Replacement,Street Resurfacing,ON W HURON ST FROM N ASHLAND AVE (1600 W) TO N PAULINA ST (1700 W),0,8239780
1,41673,2020,Street Speed Hump Replacement,Street Resurfacing,ON W HURON ST FROM N PAULINA ST (1700 W) TO N WOOD ST (1800 W),0,8239780
1,41674,2020,Street Speed Hump Replacement,Street Resurfacing,ON N LEAVITT ST FROM W DIVISION ST (1200 N) TO W NORTH AVE (1600 N),0,8239780
1,41675,2020,Street Speed Hump Replacement,Street Resurfacing,ON W ERIE ST FROM N WOOD ST (1800 W) TO N WOLCOTT AVE (1900 W),0,8239780
1,41676,2021,Alley Speed Hump Replacement,Alleys,2524 W MEDILL AVE; W MEDILL AVE & N CAMPBELL AVE & N MAPLEWOOD AVE & WFULLERTON AVE,0,8239780
1,41677,2021,Street Speed Hump Replacement,Street Resurfacing,1500 W WALTON ST,0,8239780
1,41678,2021,Street Speed Hump Replacement,Street Resurfacing,ON N OAKLEY AVE FROM W THOMAS ST (1100 N) TO W HADDON AVE (1130 N),0,8239780
1,41679,2022,Alley Speed Hump Replacement,Alleys,1220 N PAULINA ST; N WOOD ST & W CRYSTAL ST & W DIVISION ST & N HERMITAGE AVE,0,8239780
1,41680,2022,Alley Speed Hump Replacement,Alleys,N ELK GROVE AVE & N WOOD ST & N HONORE ST & N MILWAUKEE AVE,0,8239780
1,41681,2022,Alley Speed Hump Replacement,Alleys,N FRANCISCO AVE & W CORTLAND ST & W BLOOMINGDALE AVE & N MOZART ST; 1825 NFRANCISCO AVE,0,8239780
1,41682,2022,Street Speed Hump Replacement,Street Resurfacing,ON N WOLCOTT AVE FROM W ELLEN ST (1300 N) TO N WICKER PARK AVE (1370 N),0,8239780
1,43609,2023,Street Bump Outs Menu,Pedestrian Infrastructure,W LE MOYNE ST & N WOOD ST,14871,8239780
1,43604,2023,Sidewalk Menu,Sidewalk Repair,2221 W SUPERIOR ST,7034,8239780
1,43605,2023,Sidewalk Menu,Sidewalk Repair,N CALIFORNIA AVE & W NORTH AVE,8165,8239780
1,43606,2023,Street Bump Outs Menu,Pedestrian Infrastructure,1310-1314 N OAKLEY BLVD,10535,8239780
1,43607,2023,Street Bump Outs Menu,Pedestrian Infrastructure,1700 W LE MOYNE ST; W LE MOYNE ST & N PAULINA ST,20933,8239780
1,43587,2023,Alley Resurfacing Menu,Alleys,W SUPERIOR ST & N PAULINA ST & N WOOD ST & W HURON ST; 1757 W SUPERIOR ST,38716,8239780
1,43588,2023,Alley Speed Hump Replacement,Alleys,W SUPERIOR ST & N PAULINA ST & N WOOD ST & W HURON ST; 1757 W SUPERIOR ST,0,8239780
1,43589,2023,Arterial Street Bump Outs Menu,Pedestrian Infrastructure,N ASHLAND AVE & W HURON ST,150000,8239780
